Date,Index
2015-01,37
2015-02,51
2015-03,40
2015-04,38
2015-05,35
2015-06,43
2015-07,36
2015-08,34
2015-09,34
2015-10,35
2015-11,36
2015-12,34
2016-01,38
2016-02,40
2016-03,46
2016-04,39
2016-05,30
2016-06,43
2016-07,33
2016-08,31
2016-09,31
2016-10,32
2016-11,37
2016-12,41
2017-01,40
2017-02,41
2017-03,43
2017-04,42
2017-05,33
2017-06,33
2017-07,37
2017-08,46
2017-09,34
2017-10,42
2017-11,48
2017-12,39
2018-01,45
2018-02,39
2018-03,49
2018-04,40
2018-05,36
2018-06,40
2018-07,44
2018-08,56
2018-09,70
2018-10,48
2018-11,46
2018-12,48
2019-01,48
2019-02,40
2019-03,37
2019-04,45
2019-05,36
2019-06,40
2019-07,50
2019-08,44
2019-09,48
2019-10,42
2019-11,40
2019-12,44
2020-01,38
2020-02,39
2020-03,58
2020-04,53
2020-05,50
2020-06,43
2020-07,42
2020-08,52
2020-09,49
2020-10,62
2020-11,66
2020-12,58
2021-01,60
2021-02,52
2021-03,52
2021-04,53
2021-05,44
2021-06,40
2021-07,42
2021-08,55
2021-09,61
2021-10,64
2021-11,74
2021-12,100
2022-01,65
